From	Entry	Gene.Names..primary.	ENTREZID
O76003	O76003	GLRX3	10539
O76009	O76009	KRT33A	3883
O76021	O76021	RSL1D1	26156
O76024	O76024	WFS1	7466
O76027	O76027	ANXA9	8416
O76031	O76031	CLPX	10845
O76038	O76038	SCGN	10590
O76041	O76041	NEBL	10529
O76050	O76050	NEURL1	9148
O76062	O76062	TM7SF2	7108
O76070	O76070	SNCG	6623
O76074	O76074	PDE5A	8654
O76075	O76075	DFFB	1677
O76094	O76094	SRP72	6731
O94760	O94760	DDAH1	23576
O94763	O94763	URI1	8725
O94766	O94766	B3GAT3	26229
O94776	O94776	MTA2	9219
O94778	O94778	AQP8	343
O94804	O94804	STK10	6793
O94805	O94805	ACTL6B	51412
O94811	O94811	TPPP	11076
O94812	O94812	BAIAP3	8938
O94818	O94818	NOL4	8715
O94819	O94819	KBTBD11	9920
O94822	O94822	LTN1	26046
O94826	O94826	TOMM70	9868
O94829	O94829	IPO13	9670
O94830	O94830	DDHD2	23259
O94832	O94832	MYO1D	4642
O94842	O94842	TOX4	9878
O94855	O94855	SEC24D	9871
O94856	O94856	NFASC	23114
O94864	O94864	SUPT7L	9913
O94874	O94874	UFL1	23376
O94875	O94875	SORBS2	8470
O94880	O94880	PHF14	9678
O94887	O94887	FARP2	9855
O94888	O94888	UBXN7	26043
O94901	O94901	SUN1	23353
O94903	O94903	PLPBP	11212
O94905	O94905	ERLIN2	11160
O94906	O94906	PRPF6	24148
O94910	O94910	ADGRL1	22859
O94911	O94911	ABCA8	10351
O94913	O94913	PCF11	51585
O94915	O94915	FRYL	285527
O94919	O94919	ENDOD1	23052
O94925	O94925	GLS	2744
O94952	O94952	FBXO21	23014
O94955	O94955	RHOBTB3	22836
O94966	O94966	USP19	10869
O94967	O94967	WDR47	22911
O94973	O94973	AP2A2	161
O94979	O94979	SEC31A	22872
O94992	O94992	HEXIM1	10614
O95070	O95070	YIF1A	10897
O95071	O95071	UBR5	51366
O95081	O95081	AGFG2	3268
O95096	O95096	NKX2-2	4821
O95104	O95104	SCAF4	57466
O95139	O95139	NDUFB6	4712
O95140	O95140	MFN2	9927
O95154	O95154	AKR7A3	22977
O95159	O95159	ZFPL1	7542
O95163	O95163	ELP1	8518
O95164	O95164	UBL3	5412
O95167	O95167	NDUFA3	4696
O95168	O95168	NDUFB4	4710
O95169	O95169	NDUFB8	4714
O95178	O95178	NDUFB2	4708
O95182	O95182	NDUFA7	4701
O95197	O95197	RTN3	10313
O95202	O95202	LETM1	3954
O95210	O95210	STBD1	8987
O95218	O95218	ZRANB2	9406
O95219	O95219	SNX4	8723
O95232	O95232	LUC7L3	51747
O95236	O95236	APOL3	80833
O95248	O95248	SBF1	6305
O95249	O95249	GOSR1	9527
O95251	O95251	KAT7	11143
O95258	O95258	SLC25A14	9016
O95260	O95260	ATE1	11101
O95267	O95267	RASGRP1	10125
O95292	O95292	VAPB	9217
O95295	O95295	SNAPIN	23557
O95298	O95298	NDUFC2	4718
O95299	O95299	NDUFA10	4705
O95302	O95302	FKBP9	11328
O95336	O95336	PGLS	25796
O95340	O95340	PAPSS2	9060
O95352	O95352	ATG7	10533
O95359	O95359	TACC2	10579
O95363	O95363	FARS2	10667
O95365	O95365	ZBTB7A	51341
O95372	O95372	LYPLA2	11313
O95373	O95373	IPO7	10527
O95376	O95376	ARIH2	10425
O95379	O95379	TNFAIP8	25816
O95394	O95394	PGM3	5238
O95396	O95396	MOCS3	27304
O95400	O95400	CD2BP2	10421
O95433	O95433	AHSA1	10598
O95453	O95453	PARN	5073
O95456	O95456	PSMG1	8624
O95467	O95467	GNAS	NA
O95470	O95470	SGPL1	8879
O95479	O95479	H6PD	9563
O95486	O95486	SEC24A	10802
O95487	O95487	SEC24B	10427
O95502	O95502	NPTXR	23467
O95503	O95503	CBX6	23466
O95562	O95562	SFT2D2	375035
O95563	O95563	MPC2	25874
O95571	O95571	ETHE1	23474
O95573	O95573	ACSL3	2181
O95602	O95602	POLR1A	25885
O95613	O95613	PCNT	5116
O95630	O95630	STAMBP	10617
O95670	O95670	ATP6V1G2	534
O95671	O95671	ASMTL	8623
O95674	O95674	CDS2	8760
O95685	O95685	PPP1R3D	5509
O95696	O95696	BRD1	23774
O95714	O95714	HERC2	8924
O95716	O95716	RAB3D	9545
O95721	O95721	SNAP29	9342
O95747	O95747	OXSR1	9943
O95749	O95749	GGPS1	9453
O95755	O95755	RAB36	9609
O95757	O95757	HSPA4L	22824
O95758	O95758	PTBP3	9991
O95772	O95772	STARD3NL	83930
O95777	O95777	LSM8	51691
O95782	O95782	AP2A1	160
O95786	O95786	RIGI	23586
O95793	O95793	STAU1	6780
O95810	O95810	CAVIN2	8436
O95816	O95816	BAG2	9532
O95817	O95817	BAG3	9531
O95822	O95822	MLYCD	23417
O95825	O95825	CRYZL1	9946
O95831	O95831	AIFM1	9131
O95834	O95834	EML2	24139
O95848	O95848	NUDT14	256281
O95857	O95857	TSPAN13	27075
O95861	O95861	BPNT1	10380
O95864	O95864	FADS2	9415
O95865	O95865	DDAH2	23564
O95870	O95870	ABHD16A	7920
O95881	O95881	TXNDC12	51060
O95905	O95905	ECD	11319
O95926	O95926	SYF2	25949
O95931	O95931	CBX7	23492
O95954	O95954	FTCD	10841
O95968	O95968	SCGB1D1	10648
O95969	O95969	SCGB1D2	10647
O95989	O95989	NUDT3	11165
O95994	O95994	AGR2	10551
O96000	O96000	NDUFB10	4716
O96005	O96005	CLPTM1	1209
O96007	O96007	MOCS2	NA
O96008	O96008	TOMM40	10452
O96011	O96011	PEX11B	8799
O96013	O96013	PAK4	10298
O96019	O96019	ACTL6A	86
O96033	O96033	MOCS2	NA
P00167	P00167	CYB5A	1528
P00325	P00325	ADH1B	125
P00326	P00326	ADH1C	126
P00338	P00338	LDHA	3939
P00352	P00352	ALDH1A1	216
P00367	P00367	GLUD1	2746
P00387	P00387	CYB5R3	1727
P00390	P00390	GSR	2936
P00403	P00403	MT-CO2	4513
P00441	P00441	SOD1	6647
P00450	P00450	CP	1356
P00480	P00480	OTC	5009
P00488	P00488	F13A1	2162
P00491	P00491	PNP	4860
P00492	P00492	HPRT1	3251
P00505	P00505	GOT2	2806
P00533	P00533	EGFR	1956
P00558	P00558	PGK1	5230
P00568	P00568	AK1	203
P00734	P00734	F2	2147
P00736	P00736	C1R	715
P00738	P00738	HP	3240
P00740	P00740	F9	2158
P00742	P00742	F10	2159
P00746	P00746	CFD	1675
P00751	P00751	CFB	629
P00846	P00846	MT-ATP6	4508
P00915	P00915	CA1	759
P00918	P00918	CA2	760
P00966	P00966	ASS1	445
P00995	P00995	SPINK1	6690
P01008	P01008	SERPINC1	462
P01009	P01009	SERPINA1	5265
P01011	P01011	SERPINA3	12
P01019	P01019	AGT	183
P01023	P01023	A2M	2
P01024	P01024	C3	718
P01031	P01031	C5	727
P01033	P01033	TIMP1	7076
P01034	P01034	CST3	1471
P01036	P01036	CST4	1472
P01037	P01037	CST1	1469
P01040	P01040	CSTA	1475
P01042	P01042	KNG1	3827
P01112	P01112	HRAS	3265
P01275	P01275	GCG	2641
P01298	P01298	PPY	5539
P01303	P01303	NPY	4852
P01308	P01308	INS	3630
P01583	P01583	IL1A	3552
P01619	P01619	IGKV3-20	28912
P01700	P01700	IGLV1-47	28822
P01768	P01768	IGHV3-30	28439
P01833	P01833	PIGR	5284
P01834	P01834	IGKC	3514
P01859	P01859	IGHG2	3501
P01860	P01860	IGHG3	3502
P01871	P01871	IGHM	3507
P01876	P01876	IGHA1	3493
P01889	P01889	HLA-B	3106
P01893	P01893	HLA-H	3136
P01903	P01903	HLA-DRA	3122
P01911	P01911	HLA-DRB1	3123
P02042	P02042	HBD	3045
P02452	P02452	COL1A1	1277
P02461	P02461	COL3A1	1281
P02462	P02462	COL4A1	1282
P02511	P02511	CRYAB	1410
